total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
1.4,0.6,0.75,1.1538461538461537,2.0,0.6,2.0,15
2.125,1.25,1.3636363636363635,1.75,2.0,1.25,2.0,20
1.7058823529411764,1.1818181818181819,1.2941176470588236,1.6,1.75,1.1818181818181819,1.75,25
1.5294117647058822,1.2,1.1363636363636365,1.0769230769230769,1.0,1.2,1.0,30
1.7,0.9230769230769231,1.0,1.8333333333333333,2.8,0.9230769230769231,2.8,35
1.608695652173913,1.125,1.0344827586206897,1.0,1.1666666666666667,1.125,1.1666666666666667,40
1.625,1.0,0.8285714285714286,0.8571428571428571,1.4285714285714286,1.0,1.4285714285714286,45
1.2307692307692308,0.6153846153846154,0.5714285714285714,0.6666666666666666,1.0,0.6153846153846154,1.0,50
