total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
855.9130434782609,749.2941176470588,723.75,694.8000000000001,772.0,749.2941176470588,772.0,15
533.8461538461539,347.0,387.8235294117647,416.4,347.0,347.0,347.0,20
620.0,310.0,335.8333333333333,413.3333333333333,542.5,310.0,542.5,25
499.9090909090909,266.3333333333333,282.0,413.59999999999997,705.0,266.3333333333333,705.0,30
349.8,218.23529411764704,220.83333333333334,279.72222222222223,424.0,218.23529411764704,424.0,35
381.8,149.4,153.23076923076923,249.0,348.59999999999997,149.4,348.59999999999997,40
358.5,202.23076923076923,155.35,152.0909090909091,298.75,202.23076923076923,298.75,45
456.0,205.20000000000002,171.0,97.71428571428571,,205.20000000000002,,50
