total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
2.217391304347826,1.9411764705882353,1.875,1.8,2.0,1.9411764705882353,2.0,15
1.5384615384615385,1.0,1.1176470588235294,1.2,1.0,1.0,1.0,20
2.0,1.0,1.0833333333333333,1.3333333333333333,1.75,1.0,1.75,25
1.7727272727272727,0.9444444444444444,1.0,1.4666666666666666,2.5,0.9444444444444444,2.5,30
1.32,0.8235294117647058,0.8333333333333334,1.0555555555555556,1.6,0.8235294117647058,1.6,35
1.5333333333333334,0.6,0.6153846153846154,1.0,1.4,0.6,1.4,40
1.5,0.8461538461538461,0.65,0.6363636363636364,1.25,0.8461538461538461,1.25,45
2.0,0.9,0.75,0.42857142857142855,,0.9,,50
