total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
614.6086956521739,528.6315789473684,489.47368421052636,511.5,604.5,534.75,669.6,15
608.2105263157895,454.75,366.85714285714283,609.9,802.5,408.54545454545456,779.5714285714286,20
448.1818181818182,201.7391304347826,227.85714285714286,422.91666666666663,442.63157894736844,201.7391304347826,442.63157894736844,25
369.59999999999997,234.66666666666666,264.0,295.05882352941177,264.0,248.47058823529412,293.33333333333337,30
317.10344827586204,169.39999999999998,170.82352941176472,257.125,282.33333333333337,169.39999999999998,282.33333333333337,35
322.1111111111111,148.66666666666666,140.8421052631579,209.88235294117646,240.15384615384613,159.28571428571428,260.1666666666667,40
324.0,24.0,86.4,262.2857142857143,232.6153846153846,30.857142857142854,274.9090909090909,45
237.375,46.888888888888886,46.888888888888886,164.11111111111111,164.11111111111111,46.888888888888886,164.11111111111111,50
