total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
1.6521739130434783,1.4210526315789473,1.3157894736842106,1.375,1.625,1.4375,1.8,15
1.894736842105263,1.4166666666666667,1.1428571428571428,1.9,2.5,1.2727272727272727,2.4285714285714284,20
1.5454545454545454,0.6956521739130435,0.7857142857142857,1.4583333333333333,1.5263157894736843,0.6956521739130435,1.5263157894736843,25
1.4,0.8888888888888888,1.0,1.1176470588235294,1.0,0.9411764705882353,1.1111111111111112,30
1.3103448275862069,0.7,0.7058823529411765,1.0625,1.1666666666666667,0.7,1.1666666666666667,35
1.4444444444444444,0.6666666666666666,0.631578947368421,0.9411764705882353,1.0769230769230769,0.7142857142857143,1.1666666666666667,40
1.5,0.1111111111111111,0.4,1.2142857142857142,1.0769230769230769,0.14285714285714285,1.2727272727272727,45
1.125,0.2222222222222222,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.7777777777777778,50
