total,SD,WM,not SD,not WM,both,neither,timestep
,,,,,,,5
,,,,,,,10
818.125,620.0526315789474,714.0,872.6666666666667,535.5,654.5,1071.0,15
513.8181818181819,289.84615384615387,328.95238095238096,538.2857142857142,732.6666666666667,289.84615384615387,732.6666666666667,20
476.6896551724138,336.0,303.1578947368421,324.0,576.0,336.0,576.0,25
456.0,159.6,207.609756097561,294.0,354.66666666666663,159.6,354.66666666666663,30
318.88888888888886,123.0,186.0,297.7894736842105,492.0,123.0,492.0,35
381.875,126.53846153846153,132.82608695652172,141.0,470.0,126.53846153846153,470.0,40
358.40000000000003,126.0,146.08695652173913,196.0,224.0,119.46666666666667,448.0,45
221.0,82.875,110.5,132.6,,82.875,,50
